30,제주특별자치도 서귀포시 성산읍 성산등용로17번길 35 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,성산썬라이즈호텔카페,POINT (126.9309558 33.4623995),4.5
31,제주특별자치도 서귀포시 성산읍 일출로 280-4,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,빽다방제주성산일출봉점,POINT (126.9348886 33.4623382),4.5
32,제주특별자치도 서귀포시 성산읍 일출로 284-12,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,썬플라워,POINT (126.9364271 33.4621467),4.5
33,제주특별자치도 서귀포시 성산읍 일출로 284-12 2호,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,세븐일레븐성산일출봉점,POINT (126.9364271 33.4621467),4.5
34,제주특별자치도 서귀포시 성산읍 일출로 270-8 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,지에스25성산해뜰점,POINT (126.9342266 33.4618465),4.5
35,제주특별자치도 서귀포시 성산읍 일출로 267,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,까페더모해,POINT (126.9338917 33.4616976),4.5
36,제주특별자치도 서귀포시 성산읍 오조로 140,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,카페바오름561,POINT (126.9139939 33.4610534),4.5
37,제주특별자치도 서귀포시 성산읍 오조로 129,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,빈필드,POINT (126.9139939 33.4610534),4.5
38,제주특별자치도 서귀포시 성산읍 고성동서로 71,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,피자클럽성산동남점,POINT (126.914834 33.4508497),4.5
39,제주특별자치도 서귀포시 성산읍 고성동서로 66,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,미소다방,POINT (126.9144273 33.4505144),4.5
40,제주특별자치도 서귀포시 성산읍 고성동서로 66,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,세븐일레븐 고성점,POINT (126.9144273 33.4505144),4.5
41,제주특별자치도 서귀포시 성산읍 고성오조로 73 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,지에스25성산고성점,POINT (126.9145044 33.450195),4.5
42,제주특별자치도 서귀포시 성산읍 고성동서로56번길 18,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,먹보왕만두동남점,POINT (126.9147281 33.449765),4.5
43,제주특별자치도 서귀포시 성산읍 고성동서로56번길 18,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,커피후,POINT (126.9147281 33.449765),4.5
44,제주특별자치도 서귀포시 성산읍 일출로 80 1 2층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,스타벅스제주성산DT점,POINT (126.9206376 33.4497382),4.5
45,제주특별자치도 서귀포시 성산읍 고성중앙로 84,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,보배다방,POINT (126.9117086 33.4497079),4.5
46,제주특별자치도 서귀포시 성산읍 고성오조로 65 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,성산커피,POINT (126.9145295 33.4495604),4.5
47,제주특별자치도 서귀포시 성산읍 동류암로 48,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,씨유제주동남점,POINT (126.9155989 33.4491091),4.5
48,제주특별자치도 서귀포시 성산읍 동류암로 51-1,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,약속다방,POINT (126.9151914 33.4490938),4.5
49,제주특별자치도 서귀포시 성산읍 동류암로 51-1,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,아이야,POINT (126.9151914 33.4490938),4.5
50,제주특별자치도 서귀포시 성산읍 고성오조로 60,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,써니,POINT (126.9152358 33.4489824),4.5
51,제주특별자치도 서귀포시 성산읍 동류암로 20 C동 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,핏제리아모꼬지,POINT (126.9175588 33.448917),4.5
52,제주특별자치도 서귀포시 성산읍 고성오조로 51,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,승혜분식,POINT (126.9148725 33.4482777),4.5
53,제주특별자치도 서귀포시 성산읍 고성오조로 50,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,제주흑돈만두,POINT (126.9152794 33.4480793),4.5
